Smiles,Target Name,Standard Value
CN(C)CCOc1ccc(-c2nc(-c3ccc4c(O)c(Cl)ccc4c3)c(-c3ccncc3)[nH]2)cc1,Serine/threonine-protein kinase B-raf,42.0
CC(C)n1cnc2c(Nc3cccc(Cl)c3)nc(N3CCC[C@@H]3CO)nc21,Cyclin-dependent kinase 1,620000.0
O=C(Cc1ccc(Cl)cc1)Nc1cccc(-c2nc(C(F)(F)F)[nH]c2-c2ccnc(NCCN3CCNC3=O)n2)c1,Serine/threonine-protein kinase B-raf,54.0
Cc1ccc(-c2cc(C(=O)Nc3ccc(OC(F)(F)F)cc3)cnc2N2CC[C@H](CO)C2)cn1,Tyrosine-protein kinase ABL,0.6
CC(C)Nc1cc(-n2ccc3cccnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,Interleukin-1 receptor-associated kinase 4,4.3
CC(F)(F)c1ccc(F)c(NC(=O)Nc2ccc(Oc3ccnc(NC(=O)C4CC4)c3)cc2F)c1,Serine/threonine-protein kinase B-raf,7.8
COc1ncc(-c2cc3c(N[C@@H]4CC[C@](C)(N)C4(C)C)c(C(N)=O)cnn3c2)cn1,Tyrosine-protein kinase JAK3,8.4
NC(=O)c1ccc(NC2CNCCC2c2ccc(F)cc2)c2cncnc12,Serine/threonine-protein kinase AKT,2000.0
CC(C)(C)n1cc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc21,Vascular endothelial growth factor receptor 2,2290.0
CNc1ncnc(-c2cccnc2Oc2cc(NC(=O)c3cccc(OC(F)(F)C(F)F)c3)ccc2C)n1,Vascular endothelial growth factor receptor 2,1002.0
C=CC(=O)Nc1ccc(C(=O)Nc2n[nH]c3ccc(-c4cncc(NC[C@@H](O)c5ccccc5)c4)cc23)cc1,Cyclin-dependent kinase 7,4.0
COc1cc(Nc2ncc(Br)c(N[C@H](C)C(C)(C)O)n2)ccc1S(C)(=N)=O,Cyclin-dependent kinase 2,2.0
CC(C)Nc1cc(Nc2ccc3ncsc3c2)ncc1C(=O)NCCc1ccc(S(N)(=O)=O)cc1,Interleukin-1 receptor-associated kinase 4,5.7
O=C(Nc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,Serine/threonine-protein kinase AKT,2500.0
COc1cccc2nc(Nc3cccc(NC(=O)c4cc(N5CCOCC5)cc(C(F)(F)F)c4)c3)ccc12,Serine/threonine-protein kinase B-raf,5870.0
CCNC(=O)Nc1nc2ccc(-c3ccccc3OC)cc2[nH]1,Tyrosine-protein kinase ABL,6.2
Cn1cc(Nc2ncc(Cl)c(N[C@@H]3CCC[C@@H]3C(N)=O)n2)cn1,Vascular endothelial growth factor receptor 2,246.0
NC1(c2ccc(-c3nc4n(c3-c3ccccc3)COc3cccc(Cl)c3-4)cc2)CC(O)(C2CC2)C1,Serine/threonine-protein kinase AKT,8.2
CC(C)Nc1nc(Nc2ccc(S(C)(=N)=O)cc2)ncc1Br,Cyclin-dependent kinase 1,110.0
Cc1cccc(NC(=O)c2cccc3cc(-c4cccc5[nH]nc(N)c45)ccc23)c1,Vascular endothelial growth factor receptor 2,7.3
COCCNC(=O)c1ccc(Nc2ncc3cc(-c4ccncc4Cl)ccc3n2)cc1,Serine/threonine-protein kinase B-raf,369.0
O=C1Nc2ccc3ncsc3c2/C1=C/Nc1ccc(CS(=O)(=O)NCCO)cc1,Cyclin-dependent kinase 2,13.0
COc1ccc(F)cc1-c1ccnc2[nH]c(C3=CCN(CC(=O)N(C)C)[C@@H](CO)C3)cc12,Cyclin-dependent kinase 9,82.0
CCc1c(C)[nH]c(CC(C)(C)C2C(=O)Nc3ccc(-c4cncc(OC[C@@H](N)Cc5c[nH]c6ccccc56)c4)cc32)c1C,Serine/threonine-protein kinase AKT,40.3
CCCS(=O)(=O)Nc1ccc(F)c(-c2cc3cnc(NCCCO)nc3n(C)c2=O)c1F,Serine/threonine-protein kinase B-raf,7.0
CCc1nnc(-c2cn3ncnc(Nc4cnc5[nH]c(C)cc5c4)c3c2C(C)C)o1,Vascular endothelial growth factor receptor 2,36.0
O=C(NC1=NN(c2ccc(Cl)c(Cl)c2)CC1)c1c(F)cccc1F,Tyrosine-protein kinase ABL,630.96
COc1ccc(C(C)(C)C)cc1NC(=O)c1ccc(C)c(Nc2ncnc3cnc(N4CCCCC4)nc23)c1,Serine/threonine-protein kinase B-raf,10.0
CNc1ncc(-c2ccn3c(-c4cccc(NC(=O)NCC(F)(F)F)c4)cnc3c2)cc1C,Vascular endothelial growth factor receptor 2,97.3
CCN(Cc1cccc(OC)c1)C(=O)Nc1ccc(-c2cn[nH]c2)cc1O[C@H]1CCN(C)C1,Rho-associated protein kinase 2,1.0
CSc1nc(NCc2ccccc2)c2ccn(Cc3ccc(F)cc3)c2n1,Tyrosine-protein kinase ABL,70000.0
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1Nc1cccc(S(N)(=O)=O)c1,Interleukin-1 receptor-associated kinase 4,1.9
N#Cc1cc(NC(=O)Nc2ccc(Oc3ccnc(NC(=O)C4CC4)c3)cc2)cc(C(F)(F)F)c1,Serine/threonine-protein kinase B-raf,72.0
COC(=O)c1cc2cc(NCc3cc(NC(=O)c4cc(-n5cnc(C)c5)cc(C(F)(F)F)c4)ccc3C)cnc2[nH]1,Tyrosine-protein kinase ABL,51.0
COc1cc(F)ccc1-c1nc(Nc2cc(F)cc(CS(=O)(=NC#N)C3CC3)c2)ncc1F,Cyclin-dependent kinase 2,250.0
Cc1cccc(NC(=O)N(C)Cc2ccc(-c3n[nH]c4c3Cc3ccc(CN5CCN(C)CC5)cc3-4)s2)c1,Vascular endothelial growth factor receptor 2,64.0
COc1ccc2c(c1)OCn1c-2nc(-c2ccc(C3(N)CC(O)(C4CC4)C3)cc2)c1-c1ccccc1,Serine/threonine-protein kinase AKT2,0.6
CN(C)CCCc1ccc(Cl)c(Nc2ncc3c(n2)-c2ccc(Cl)cc2NC(=S)C3)c1,Vascular endothelial growth factor receptor 2,56.0
COc1cc(OC)cc(N(CC2CC2)c2ccc3ncc(-c4cnn(CCCN)c4)nc3c2)c1,Vascular endothelial growth factor receptor 2,66.07
COc1cc2c(cc1Nc1ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n1)CCC(O)C2(C)C,ALK tyrosine kinase receptor,56.0
COC(=O)c1cccc(NC(=O)Cc2nc(N3CCOCC3)cc(=O)[nH]2)c1,Serine/threonine-protein kinase AKT,1314.0
CS(=O)(=O)Cc1cccc(Nc2nccc(Oc3ccc4c(C(=O)Nc5ccccc5F)cccc4c3)n2)c1,Vascular endothelial growth factor receptor 2,2.0
CN(C)CCCO/N=C/c1c(N)ncnc1Oc1ccc(NC(=O)C2(C(=O)Nc3ccc(F)cc3)CC2)cc1F,Vascular endothelial growth factor receptor 2,170.0
COc1c(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(N5CCCCC5)nc34)c2)cc(C(C)(C)C)cc1NS(C)(=O)=O,Serine/threonine-protein kinase B-raf,41.0
CNc1ncc2cc(-c3ccccc3)c(-c3ccc(CN4CCC(c5nnc(-c6ccccn6)[nH]5)CC4)cc3)nc2n1,Serine/threonine-protein kinase AKT2,94.0
COc1cc(OC)cc(N(c2ccc3ncc(-c4cnn(C)c4)nc3c2)[C@H]2CC[C@H](NC(C)C)CC2)c1,Vascular endothelial growth factor receptor 2,5011.87
CCCCCCCCCCCCC[C@@]1(C(=O)OCC)CCC[C@@H]1OP(=O)([O-])OCC[N+](C)(C)C,Serine/threonine-protein kinase AKT,6200.0
CCCN1C(=O)/C(=N\c2ccc(NC(=O)Nc3ccc(S(N)(=O)=O)cc3)cc2)c2cc(Cl)ccc21,Vascular endothelial growth factor receptor 2,383.61
CC(C)(C)c1cccc(-n2cc(-c3ccccc3NCc3ccncc3)nn2)c1,Vascular endothelial growth factor receptor 2,330.0
Cc1cccc(NC(=O)Nc2ccc(-c3csc4ncnc(N)c34)cc2)c1,Vascular endothelial growth factor receptor 2,3.0
CN(C)C/C=C/C(=O)Nc1ccc(C(=O)Nc2cccc(Nc3ncc(Cl)c(-c4c[nH]c5ccccc45)n3)c2)cc1,Cyclin-dependent kinase 7,3.2
O=C(NCC(F)(F)F)Nc1cccc(-c2cnc3cc(C#CCCO)ccn23)c1,Vascular endothelial growth factor receptor 2,349.0
NS(=O)(=O)c1ccc(N/N=C2\C(=O)Nc3cccc(/C=C/c4ccc(O)cc4)c32)cc1,Cyclin-dependent kinase 2,9.3
C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,ALK tyrosine kinase receptor,165.0
Cc1cc(C(=O)NCc2cccc(C(=O)NC3CC3)c2)ccc1-c1cn[nH]c1,Rho-associated protein kinase 2,0.86
CN1CCN(c2ccc(-c3ccc4[nH]c5nccc(-c6ccc(-c7cccc8ccccc78)cc6)c5c4c3)cc2)CC1,ALK tyrosine kinase receptor,52.0
O=C(Nc1ccc(Oc2ccccc2)cc1)c1ccccc1Cn1ccc2ncnc-2c1,Vascular endothelial growth factor receptor 2,1550.0
COc1cc(O)cc(N(CCO)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,Vascular endothelial growth factor receptor 2,2570.4
CC(C)Oc1nc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2NS(C)(=O)=O)n1,ALK tyrosine kinase receptor,9400.0
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,Tyrosine-protein kinase ABL,339.0
CNC(=O)c1cnc(Nc2ccc3ncsc3c2)cc1NCCO,Interleukin-1 receptor-associated kinase 4,170.0
Cc1cccc(NC(=O)Cc2nc(N3CCOCC3)cc(=O)[nH]2)c1,Serine/threonine-protein kinase AKT,39.0
CN1CCN(c2ccc(C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC3CCOCC3)c2)CC1,ALK tyrosine kinase receptor,124.0
CC(C)NCc1cc(NC(=O)C2CCc3ccc(Oc4ccnc(NC(=O)C5CC5)c4)cc3C2)cc(C(F)(F)F)c1,Serine/threonine-protein kinase B-raf,5.0
Cc1ccc(C(=O)Nc2ccnc(C(C)(C)C)c2)cc1Nc1ncnc2cnc(N3CCC(CCN(C)C)CC3)nc12,Serine/threonine-protein kinase B-raf,3.0
COc1cncc(N(C)c2ccnc(Nc3cc(N4CCOCC4)cc(N4CCOCC4)c3)n2)c1,Vascular endothelial growth factor receptor 2,430.0
Cn1cc(-c2cnc3[nH]cc(-c4cnn(Cc5cccc(F)c5)c4)c3c2)cn1,ALK tyrosine kinase receptor,219.5
N=C(N)NCCC[C@@H](NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)CCCCCNC(=O)[C@@H](CCCCN)NC(=O)CCCCCNC(=O)c1ccc(-c2ccnc(N)n2)s1)C(N)=O,Serine/threonine-protein kinase AKT3,12.0
COc1cc(C(=O)N[C@H](CNS(C)(=O)=O)c2ccccc2)ccc1-c1cn[nH]c1,Rho-associated protein kinase 2,1.9
Cc1cnc(-c2ccn3c(-c4cccc(NC(=O)NCC(F)(F)F)c4)cnc3c2)nc1,Vascular endothelial growth factor receptor 2,420.0
CC1(C)[C@H](Nc2c(C(N)=O)cnn3cc(-c4ccc(C#N)nc4)cc23)CC[C@]1(C)C(N)=O,Tyrosine-protein kinase JAK3,1.0
COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCC1CN(C(=O)C2CCCC2)CCO1,Vascular endothelial growth factor receptor 2,50.0
Cc1cccc(NC(=O)Nc2ccc(-c3cncc4[nH]nc(N)c34)cc2)c1,Vascular endothelial growth factor receptor 2,0.7
O=c1[nH]c(N2CCCC2c2ccncc2)nc(N[C@@H]2CCCNC2)c1-c1ccc2ccccc2n1,Interleukin-1 receptor-associated kinase 4,3180.0
O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2ccc[nH]2)c1,Tyrosine-protein kinase ABL,2.4
N=C(N)NCCC[C@@H](NC(=O)CCCCCNC(=O)[C@@H](CCCCN)NC(=O)CCCCCNC(=O)c1ccc(-c2ccnc(N)n2)s1)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(N)=O,Serine/threonine-protein kinase AKT3,42.0
O=C(C(O)c1ccc(Cl)cc1)N1CCN(c2ccc3[nH]ncc3c2)CC1,Rho-associated protein kinase 2,190.0
Cc1ccc(C(=O)Nc2cc(C(C)(C)C)on2)cc1Nc1ncnc2ccc(N3CCN(CC4CCN(C)CC4)CC3)nc12,Serine/threonine-protein kinase B-raf,12.0
CC(C)CNC(c1ccc(Cl)cc1)c1ccc(-c2ncnc3[nH]cnc23)cc1,Serine/threonine-protein kinase AKT,740.0
CN(C)C(=O)c1ccc2c(c1)CC(C(=O)Nc1ccc(-c3cn[nH]c3)cc1)CO2,Rho-associated protein kinase 2,86.0
CN(C)Cc1nc2ccc(Nc3ncc(Cl)c(Nc4ccccc4C(=O)N(C)C)n3)cc2[nH]1,ALK tyrosine kinase receptor,6.9
F[C@H]1CNCC[C@H]1n1cc(-c2ccc3c(c2)Cc2c[nH]nc2-3)c(-c2ccncc2)n1,Serine/threonine-protein kinase B-raf,3.8
C=CC(=O)Nc1cccc(CNc2nc(Nc3cnoc3)ncc2Cl)c1,Tyrosine-protein kinase JAK3,2.9
CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)[C@H]1Cc2cc(Cl)ccc2CN1,Rho-associated protein kinase 2,52.0
CCc1cc2c(cc1C1=CCN(C(=O)C3CNC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,ALK tyrosine kinase receptor,1.0
Cn1nnnc1-c1cnc(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)c(-c2ccccc2)c1,Serine/threonine-protein kinase AKT,273.0
CCNC(=O)N1CCN(c2ccc(Nc3nc(Nc4ccc(N5CCN(C(C)=O)CC5)cc4OC)ncc3C(F)(F)F)c(OC)c2)CC1,ALK tyrosine kinase receptor,2.0
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(B(O)O)cc3)ncc2C(F)(F)F)c1,Tyrosine-protein kinase JAK3,0.3
Cc1ncc(NC(=O)c2ccnc(C(C)(F)F)c2)cc1-c1ccnc(N2CCOCC2)c1,Serine/threonine-protein kinase B-raf,4.089
COc1cc2ncccc2cc1NC(=O)c1csc2cnc(N(CCO)C(C)C)nc12,Interleukin-1 receptor-associated kinase 4,127.0
O=C1Cc2cc(N3CCC(CO)CC3)c(NC(=O)c3cnn4cccnc34)cc2N1,Interleukin-1 receptor-associated kinase 4,49.0
CCCn1cc(-c2cn3ncc(C(N)=O)c(N[C@H]4CN(C(=O)C5(C#N)CC5)C[C@H]4CF)c3n2)cn1,Tyrosine-protein kinase JAK3,3.4
CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NCCC1CCCCO1,Interleukin-1 receptor-associated kinase 4,6.5
CN1CCN(c2ccc3[nH]c(=O)c(-c4nc5ccccc5[nH]4)c(N)c3c2)CC1,Vascular endothelial growth factor receptor 2,6500.0
CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5cccnn45)n(C)n3)cc2C(F)(F)F)CC1,Tyrosine-protein kinase ABL,27.0
O=C(Nc1ccc(Cl)c(C(F)(F)F)c1)c1ccc(Cl)c(Nc2ncccc2-c2ncnc3[nH]cnc23)c1,Serine/threonine-protein kinase B-raf,10.8
CC(C)(C)C(=O)c1c[nH]c2ncc(Nc3ccc(/C=C(\C#N)c4ccno4)cc3)nc12,Tyrosine-protein kinase JAK3,35.1
O=c1[nH]c(N2CCOCC2)nc(NC(CO)CO)c1-c1nc2ccccc2s1,Interleukin-1 receptor-associated kinase 4,110.0
Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(CN3CCCCC3)ns2)n1,Vascular endothelial growth factor receptor 2,4.0
NC1(c2ccc(-c3nc4ccc(C(=O)NC5CC5)cn4c3-c3ccccc3)cc2)CCC1,Serine/threonine-protein kinase AKT2,295.0
COc1cc2c(cc1Nc1ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n1)CCCN(CCO)C2,ALK tyrosine kinase receptor,600.0
COc1cc(OC)cc(N(CCO)c2ccc3ncc(-c4c(C)nn(C)c4C)nc3c2)c1,Vascular endothelial growth factor receptor 2,630.96
COc1cc([C@@H](C)NC(=O)N2CCN(c3ccncc3F)C[C@H]2C)ccc1F,Rho-associated protein kinase 2,3.0
CCCS(=O)(=O)Nc1ccc(F)c(C(=O)Nc2cnc3cc(-c4ccc(F)cc4)nn3c2)c1F,Serine/threonine-protein kinase B-raf,11.0
O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(-c3nc4cc5[nH]cnc5cc4nc3-c3ccccc3)cc2)CC1,Serine/threonine-protein kinase AKT,200.0
N#Cc1ccc(NC(=O)NCc2cccc(NC(=O)CCC3CCCNC3)c2)cc1,Rho-associated protein kinase 2,110000.0
C/C(Nc1ccc(S(N)(=O)=O)cc1)=C1/C(=O)Nc2ccc(Cl)cc21,Cyclin-dependent kinase 1,220.0
C[C@H]1CNC(=O)c2cnn3ccc(nc23)N[C@H](C)c2cc(F)ccc2O1,ALK tyrosine kinase receptor,1.01
CCN(CCO)c1ncc(C(=O)Nc2ccc(SC(F)(F)F)cc2)cc1-c1cncnc1,Tyrosine-protein kinase ABL,3.0
CC1(C)c2cc(OCCn3ccnc3)ccc2C(=O)c2c1oc1ccccc21,ALK tyrosine kinase receptor,1811.0
COC(=O)c1cc2cc(NC(=O)c3ccccc3C(F)(F)F)cnc2[nH]1,Tyrosine-protein kinase ABL,439.0
CCN(CC)CCOc1ccc2c(c1)C(C)(C)c1[nH]c3cc(NC(=O)Nc4ccccc4)ccc3c1C2=O,ALK tyrosine kinase receptor,2974.3
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)CN1CCC1,Vascular endothelial growth factor receptor 2,951.0
O=C(CN1CCN(c2nnc(-c3ccccc3)c3ccccc23)CC1)Nc1nc(-c2ccccc2)cs1,Vascular endothelial growth factor receptor 2,2380.0
COc1cc2c(NC3=CC(=O)C(OC(CF)CF)=CC3=O)ncnc2cc1OCCCN1CCCC1,Vascular endothelial growth factor receptor 2,7.4
COc1cc2nccc(Oc3ccc4c(c3)OCCN4C(=O)NCc3ccccc3)c2cc1OC,Vascular endothelial growth factor receptor 2,53.0
O=C(Nc1cc(C2CC2)n[nH]1)c1ccccc1,Cyclin-dependent kinase 2,289.73
C[C@]1(O)CCC[C@H]1Nc1c(C(N)=O)cnn2cccc12,Tyrosine-protein kinase JAK3,69.0
O=C(CN1CCN(c2nnc(-c3ccccc3)c3ccccc23)CC1)Nc1ccccc1Cl,Vascular endothelial growth factor receptor 2,3950.0
CCCCOc1cc2c(Nc3ccc(NC(=O)OC)c(C)c3)ncnc2cc1OCCN(CC)CC,Vascular endothelial growth factor receptor 2,9400.0
COc1cccc(-c2cccn3nc(Nc4ccc(C5CCN(C(=O)OC(C)(C)C)CC5)cc4)nc23)c1OC,Tyrosine-protein kinase JAK3,1105.66
O=C(Nc1ccc(OC(F)(F)F)cc1)c1ccc(N2C[C@H](O)[C@@H](O)C2)c(-c2cccnc2)c1,Tyrosine-protein kinase ABL,13.0
COc1cc(Nc2ncc3c(n2)CCN(C(=O)c2ccccc2)C3)cc(OC)c1OC,Vascular endothelial growth factor receptor 2,4760.0
C[C@H](C(=O)Nc1cc(C2CC2)[nH]n1)c1ccc(N2CCCC2=O)cc1,Cyclin-dependent kinase 2,36.98
COc1ccc(CNC(=O)c2cc3ccc(-c4cn[nH]c4)nc3[nH]2)cc1,Rho-associated protein kinase 2,180.0
CCN1CCC(Nc2ccc3c(c2)C(=C(c2nc(C)c[nH]2)c2ccccc2F)C(=O)N3)CC1,Vascular endothelial growth factor receptor 2,3.0
COc1cc2c(=O)c3c4ccc(C#N)cc4[nH]c3n(C3CCC3)c2cc1N1CCN(C)CC1,ALK tyrosine kinase receptor,12.7
c1cc2c(ncc3nnc(C4CCCCC4)n32)[nH]1,Vascular endothelial growth factor receptor 2,2600.0
COc1cc(OC)cc(N(C[C@H](OC(C)=O)C(F)(F)F)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,Vascular endothelial growth factor receptor 2,1000.0
OC12CC3CC(C1)CC(c1nnn4cnc5[nH]ccc5c14)(C3)C2,Tyrosine-protein kinase JAK3,220.0
CN(C)CCn1cc(-c2ccc(F)c(C(F)(F)F)c2)nc1C1CCN(c2ncnc(N)c2-c2ccncc2)CC1,Serine/threonine-protein kinase AKT,43.0
CN1Cc2c(-c3ccc(S(C)(=O)=O)cc3)[nH]c3nccc(c23)-c2cc(F)ccc21,Cyclin-dependent kinase 9,66.0
O=C(Oc1ccc([N+](=O)[O-])cc1)N1CCCC12CCN(c1ncnc3[nH]ccc13)C2,Tyrosine-protein kinase JAK3,250.0
Cn1cc(/C=C2\C(=O)NN=C2c2cnccn2)c2c(F)cccc21,Vascular endothelial growth factor receptor 2,17.0
COc1cc(OC)cc(N(Cc2ccc(Cl)s2)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,Vascular endothelial growth factor receptor 2,323.59
Cc1ccc(CNc2cc(-n3ccc4cc(C#N)cnc43)ncc2C(=O)NC[C@@H](F)C(C)(C)O)cn1,Interleukin-1 receptor-associated kinase 4,18.4
CCOC(=O)c1c(C)nc(NNC(=O)c2cccc3c(=O)c4ccccc4[nH]c23)nc1CC(C)C,Serine/threonine-protein kinase AKT,12.0
O=C(Cc1ccc(Br)cc1)Nc1n[nH]c2ccc(N3CCCS3(=O)=O)cc12,Cyclin-dependent kinase 2,7.0
COc1ccc(N2CCN(c3nc(N[C@@H]4CCCNC4)c(-c4nc5ccccc5s4)c(=O)[nH]3)CC2)nc1,Interleukin-1 receptor-associated kinase 4,5.0
O=[N+]([O-])c1cccc(-c2ccc3ncnc(Nc4cccc5[nH]ncc45)c3c2)c1,Serine/threonine-protein kinase B-raf,428.3
